dito1,dito2,dito3,dito4,target
4581,4527,5969,3771,0
4748,4531,5978,3781,0
4748,4531,5978,3781,0
4843,4545,5977,3785,0
4843,4545,5977,3785,0
4538,4553,5998,3784,0
4538,4553,5998,3784,0
4346,4559,5998,3781,0
4346,4559,5998,3781,0
4301,4574,6008,3785,0
4301,4574,6008,3785,0
4325,4576,6016,3790,0
4325,4576,6016,3790,0
4569,4590,6018,3801,0
4569,4590,6018,3801,0
4707,4598,6023,3805,0
4707,4598,6023,3805,0
4507,4591,6025,3801,0
4507,4591,6025,3801,0
4401,4564,6004,3790,0
4401,4564,6004,3790,0
4396,4553,5994,3792,0
4396,4553,5994,3792,0
4542,4574,6014,3806,0
4542,4574,6014,3806,0
4734,4604,6035,3820,0
4734,4604,6035,3820,0
4736,4634,6058,3822,0
4736,4634,6058,3822,0
4503,4559,5989,3790,0
4503,4559,5989,3790,0
4343,4520,5967,3764,0
4343,4520,5967,3764,0
4442,4553,5992,3764,0
4442,4553,5992,3764,0
4557,4565,6010,3776,0
4557,4565,6010,3776,0
4542,4581,6020,3803,0
4542,4581,6020,3803,0
4726,4592,6030,3808,0
4726,4592,6030,3808,0
4595,4594,6020,3792,0
4595,4594,6020,3792,0
4397,4588,6021,3790,0
4397,4588,6021,3790,0
4351,4593,6024,3789,0
4351,4593,6024,3789,0
4490,4523,5977,3797,0
4490,4523,5977,3797,0
4573,4467,5933,3807,0
4573,4467,5933,3807,0
4645,4034,5567,3796,0
4645,4034,5567,3796,0
4965,4164,5641,3809,0
4965,4164,5641,3809,0
4468,4220,5706,3770,0
4468,4220,5706,3770,0
4370,4226,5720,3725,0
4370,4226,5720,3725,0
4426,4236,5731,3722,0
4426,4236,5731,3722,0
4595,4221,5721,3742,0
4595,4221,5721,3742,0
4775,4075,5593,3759,0
4775,4075,5593,3759,0
4827,4166,5668,3772,0
4827,4166,5668,3772,0
4992,4156,5656,3780,0
4992,4156,5656,3780,0
4578,4241,5736,3793,0
4578,4241,5736,3793,0
4560,4274,5773,3785,0
4560,4274,5773,3785,0
4589,4294,5787,3789,0
4589,4294,5787,3789,0
4739,4296,5777,3805,0
4739,4296,5777,3805,0
4976,4277,5765,3769,0
4976,4277,5765,3769,0
5143,4272,5747,3754,0
5143,4272,5747,3754,0
4673,4315,5800,3759,0
4673,4315,5800,3759,0
4448,4289,5781,3710,0
4448,4289,5781,3710,0
4509,4437,5896,3723,0
4509,4437,5896,3723,0
4745,4420,5886,3740,0
4745,4420,5886,3740,0
4906,4399,5865,3739,0
4906,4399,5865,3739,0
4753,4444,5887,3743,0
4753,4444,5887,3743,0
4356,4465,5911,3729,0
4356,4465,5911,3729,0
4351,4479,5940,3722,0
4351,4479,5940,3722,0
4591,4467,5925,3725,0
4591,4467,5925,3725,0
4790,4425,5889,3726,0
4790,4425,5889,3726,0
4941,4429,5899,3730,0
4941,4429,5899,3730,0
4618,4457,5917,3735,0
4618,4457,5917,3735,0
4334,4482,5924,3734,0
4334,4482,5924,3734,0
4482,4490,5943,3738,0
4482,4490,5943,3738,0
4600,4480,5929,3742,0
4600,4480,5929,3742,0
4805,4474,5930,3749,0
4805,4474,5930,3749,0
4926,4484,5938,3754,0
4926,4484,5938,3754,0
4651,4500,5954,3755,0
4651,4500,5954,3755,0
4334,4509,5950,3753,0
4334,4509,5950,3753,0
4302,4515,5961,3755,0
4302,4515,5961,3755,0
4543,4502,5953,3754,0
4543,4502,5953,3754,0
4698,4475,5936,3755,0
4698,4475,5936,3755,0
4864,4469,5924,3751,0
4864,4469,5924,3751,0
4840,4489,5947,3753,0
4840,4489,5947,3753,0
4468,4514,5962,3750,0
4468,4514,5962,3750,0
4429,4525,5961,3752,0
4429,4525,5961,3752,0
4642,4524,5966,3755,0
4642,4524,5966,3755,0
4830,4510,5963,3757,0
4830,4510,5963,3757,0
4887,4518,5968,3759,0
4887,4518,5968,3759,0
4638,4535,5979,3758,0
4638,4535,5979,3758,0
4538,4540,5981,3761,0
4538,4540,5981,3761,0
4635,4552,5986,3766,0
4635,4552,5986,3766,0
4798,4549,5997,3774,0
4798,4549,5997,3774,0
4836,4539,5981,3775,0
4836,4539,5981,3775,0
4967,4546,5993,3777,0
4967,4546,5993,3777,0
4653,4561,6005,3776,0
4653,4561,6005,3776,0
4543,4564,6005,3774,0
4543,4564,6005,3774,0
4728,4586,5994,3793,0
4728,4586,5994,3793,0
4881,4542,5979,3777,0
4881,4542,5979,3777,0
4904,4547,5995,3776,0
4904,4547,5995,3776,0
4896,4569,6018,3777,0
4896,4569,6018,3777,0
4788,4576,6031,3779,0
4788,4576,6031,3779,0
4805,4583,6029,3780,0
4805,4583,6029,3780,0
4982,4583,6020,3780,0
4982,4583,6020,3780,0
5008,4584,6009,3779,0
5008,4584,6009,3779,0
4947,4596,6026,3779,0
4947,4596,6026,3779,0
4764,4596,6035,3783,0
4764,4596,6035,3783,0
4737,4597,6029,3784,0
4737,4597,6029,3784,0
4940,4598,6040,3786,0
4940,4598,6040,3786,0
4938,4596,6037,3790,0
4938,4596,6037,3790,0
5036,4593,6019,3789,0
5036,4593,6019,3789,0
4483,4486,5944,3771,0
4483,4486,5944,3771,0
4326,4434,5899,3736,0
4326,4434,5899,3736,0
4556,4415,5882,3765,0
4556,4415,5882,3765,0
4724,4404,5872,3771,0
4724,4404,5872,3771,0
4803,4421,5892,3766,0
4803,4421,5892,3766,0
4458,4452,5903,3764,0
4458,4452,5903,3764,0
4516,4446,5895,3766,0
4516,4446,5895,3766,0
4634,4457,5919,3771,0
4634,4457,5919,3771,0
4820,4463,5921,3771,0
4820,4463,5921,3771,0
5000,4462,5921,3781,0
5000,4462,5921,3781,0
4738,4465,5927,3775,0
4738,4465,5927,3775,0
4695,4470,5930,3781,0
4695,4470,5930,3781,0
4860,4494,5945,3788,0
4860,4494,5945,3788,0
4848,4506,5933,3796,0
4848,4506,5933,3796,0
4974,4519,5970,3797,0
4974,4519,5970,3797,0
4821,4508,5968,3798,0
4821,4508,5968,3798,0
4437,4488,5942,3782,0
4437,4488,5942,3782,0
4586,4530,5976,3783,0
4586,4530,5976,3783,0
4722,4511,5949,3789,0
4722,4511,5949,3789,0
4771,4482,5936,3782,0
4771,4482,5936,3782,0
4879,4500,5959,3782,0
4879,4500,5959,3782,0
4596,4507,5962,3786,0
4596,4507,5962,3786,0
4451,4498,5960,3779,0
4451,4498,5960,3779,0
4629,4512,5964,3787,0
4629,4512,5964,3787,0
4791,4494,5953,3796,0
4791,4494,5953,3796,0
4874,4501,5931,3798,0
4874,4501,5931,3798,0
4903,4515,5969,3805,0
4903,4515,5969,3805,0
4653,4495,5959,3801,0
4653,4495,5959,3801,0
4654,4511,5964,3803,0
4654,4511,5964,3803,0
4814,4520,5970,3807,0
4814,4520,5970,3807,0
4938,4533,5981,3813,0
4938,4533,5981,3813,0
4957,4551,5987,3817,0
4957,4551,5987,3817,0
4817,4563,6008,3815,0
4817,4563,6008,3815,0
4692,4574,6015,3812,0
4692,4574,6015,3812,0
4876,4572,6014,3818,0
4876,4572,6014,3818,0
5025,4564,6005,3803,0
5025,4564,6005,3803,0
5189,4574,6014,3807,0
5189,4574,6014,3807,0
4605,4604,6013,3818,0
4605,4604,6013,3818,0
4365,4566,6009,3779,0
4365,4566,6009,3779,0
4568,4550,5994,3782,0
4568,4550,5994,3782,0
4798,4510,5969,3786,0
4798,4510,5969,3786,0
5034,4490,5951,3787,0
5034,4490,5951,3787,0
4851,4488,5949,3781,0
4851,4488,5949,3781,0
4503,4475,5938,3757,0
4503,4475,5938,3757,0
4463,4440,5887,3738,0
4463,4440,5887,3738,0
4646,4379,5849,3741,0
4646,4379,5849,3741,0
4748,4336,5817,3746,0
4748,4336,5817,3746,0
4883,4373,5849,3755,0
4883,4373,5849,3755,0
4812,4382,5852,3760,0
4812,4382,5852,3760,0
4554,4387,5855,3740,0
4554,4387,5855,3740,0
4500,4416,5875,3720,0
4500,4416,5875,3720,0
4680,4408,5871,3729,0
4680,4408,5871,3729,0
4794,4393,5869,3742,0
4794,4393,5869,3742,0
4914,4443,5899,3754,0
4914,4443,5899,3754,0
