dito1,dito2,dito3,dito4,target
5711,5114,5205,3774,0
5702,5120,5211,3773,0
5702,5120,5211,3773,0
5690,5119,5211,3773,0
5690,5119,5211,3773,0
5687,5122,5212,3776,0
5687,5122,5212,3776,0
5689,5122,5212,3779,0
5689,5122,5212,3779,0
5697,5128,5217,3783,0
5697,5128,5217,3783,0
5703,5125,5215,3790,0
5703,5125,5215,3790,0
5706,5129,5218,3792,0
5706,5129,5218,3792,0
5712,5121,5211,3796,0
5712,5121,5211,3796,0
5708,5129,5217,3804,0
5708,5129,5217,3804,0
5713,5134,5222,3809,0
5713,5134,5222,3809,0
5711,5127,5219,3787,0
5711,5127,5219,3787,0
5677,5123,5212,3773,0
5677,5123,5212,3773,0
5685,5121,5209,3779,0
5685,5121,5209,3779,0
5720,5117,5210,3796,0
5720,5117,5210,3796,0
5743,5125,5213,3817,0
5743,5125,5213,3817,0
5747,5124,5212,3828,0
5747,5124,5212,3828,0
5747,5125,5213,3839,0
5747,5125,5213,3839,0
5748,5107,5202,3847,0
5748,5107,5202,3847,0
5736,5120,5208,3844,0
5736,5120,5208,3844,0
5727,5135,5221,3842,0
5727,5135,5221,3842,0
5705,5142,5229,3847,0
5705,5142,5229,3847,0
5698,5145,5233,3853,0
5698,5145,5233,3853,0
5697,5131,5221,3857,0
5697,5131,5221,3857,0
5697,5161,5244,3856,0
5697,5161,5244,3856,0
5698,5164,5249,3855,0
5698,5164,5249,3855,0
5699,5155,5244,3851,0
5699,5155,5244,3851,0
5700,5149,5238,3850,0
5700,5149,5238,3850,0
5703,5158,5244,3850,0
5703,5158,5244,3850,0
5707,5166,5252,3849,0
5707,5166,5252,3849,0
5713,5179,5264,3853,0
5713,5179,5264,3853,0
5718,5183,5268,3850,0
5718,5183,5268,3850,0
5726,5172,5260,3853,0
5726,5172,5260,3853,0
5745,5158,5245,3857,0
5745,5158,5245,3857,0
5759,5165,5251,3858,0
5759,5165,5251,3858,0
5767,5149,5237,3862,0
5767,5149,5237,3862,0
5766,5147,5234,3871,0
5766,5147,5234,3871,0
5765,5169,5252,3878,0
5765,5169,5252,3878,0
5738,5178,5264,3884,0
5738,5178,5264,3884,0
5699,5169,5255,3885,0
5699,5169,5255,3885,0
5702,5178,5263,3885,0
5702,5178,5263,3885,0
5711,5179,5264,3885,0
5711,5179,5264,3885,0
5719,5178,5265,3882,0
5719,5178,5265,3882,0
5719,5176,5261,3869,0
5719,5176,5261,3869,0
5729,5174,5259,3872,0
5729,5174,5259,3872,0
5736,5178,5262,3870,0
5736,5178,5262,3870,0
5737,5195,5279,3872,0
5737,5195,5279,3872,0
5744,5190,5274,3875,0
5744,5190,5274,3875,0
5748,5172,5260,3872,0
5748,5172,5260,3872,0
5775,5155,5242,3739,0
5775,5155,5242,3739,0
5714,5157,5244,3781,0
5714,5157,5244,3781,0
5707,5164,5250,3804,0
5707,5164,5250,3804,0
5714,5177,5261,3808,0
5714,5177,5261,3808,0
5751,5150,5241,3658,0
5751,5150,5241,3658,0
5749,5139,5231,3655,0
5749,5139,5231,3655,0
5736,5169,5253,3779,0
5736,5169,5253,3779,0
5728,5147,5237,3812,0
5728,5147,5237,3812,0
5701,5159,5242,3790,0
5701,5159,5242,3790,0
5689,5100,5196,3675,0
5689,5100,5196,3675,0
5684,5096,5186,3705,0
5684,5096,5186,3705,0
5681,5118,5206,3743,0
5681,5118,5206,3743,0
5681,5116,5207,3755,0
5681,5116,5207,3755,0
5689,5104,5196,3757,0
5689,5104,5196,3757,0
5693,5101,5192,3759,0
5693,5101,5192,3759,0
5696,5128,5215,3762,0
5696,5128,5215,3762,0
5698,5127,5220,3766,0
5698,5127,5220,3766,0
5699,5129,5218,3768,0
5699,5129,5218,3768,0
5700,5112,5203,3771,0
5700,5112,5203,3771,0
5700,5127,5214,3774,0
5700,5127,5214,3774,0
5701,5138,5227,3777,0
5701,5138,5227,3777,0
5702,5137,5226,3780,0
5702,5137,5226,3780,0
5703,5150,5236,3787,0
5703,5150,5236,3787,0
5704,5150,5235,3793,0
5704,5150,5235,3793,0
5704,5117,5208,3798,0
5704,5117,5208,3798,0
5704,5142,5227,3801,0
5704,5142,5227,3801,0
5704,5145,5231,3805,0
5704,5145,5231,3805,0
5704,5148,5234,3807,0
5704,5148,5234,3807,0
5704,5140,5228,3810,0
5704,5140,5228,3810,0
5703,5128,5218,3812,0
5703,5128,5218,3812,0
5701,5131,5218,3810,0
5701,5131,5218,3810,0
5702,5109,5201,3811,0
5702,5109,5201,3811,0
5701,5087,5184,3815,0
5701,5087,5184,3815,0
5703,5088,5180,3814,0
5703,5088,5180,3814,0
5703,5097,5186,3813,0
5703,5097,5186,3813,0
5705,5099,5190,3809,0
5705,5099,5190,3809,0
5705,5104,5197,3806,0
5705,5104,5197,3806,0
5704,5102,5191,3803,0
5704,5102,5191,3803,0
5701,5111,5199,3807,0
5701,5111,5199,3807,0
5702,5118,5205,3810,0
5702,5118,5205,3810,0
5703,5116,5211,3814,0
5703,5116,5211,3814,0
5705,5116,5206,3815,0
5705,5116,5206,3815,0
5706,5103,5194,3820,0
5706,5103,5194,3820,0
5706,5108,5202,3828,0
5706,5108,5202,3828,0
5706,5090,5187,3831,0
5706,5090,5187,3831,0
5704,5113,5196,3832,0
5704,5113,5196,3832,0
5705,5097,5192,3831,0
5705,5097,5192,3831,0
5703,4972,5085,3835,0
5703,4972,5085,3835,0
5698,4730,4857,3836,0
5698,4730,4857,3836,0
5687,4898,4995,3839,0
5687,4898,4995,3839,0
5685,4671,4820,3841,0
5685,4671,4820,3841,0
5683,5132,5186,3845,0
5683,5132,5186,3845,0
5699,5185,5267,3847,0
5699,5185,5267,3847,0
5697,5236,5313,3847,0
5697,5236,5313,3847,0
5692,5248,5325,3848,0
5692,5248,5325,3848,0
5691,5238,5320,3849,0
5691,5238,5320,3849,0
5693,5249,5329,3850,0
5693,5249,5329,3850,0
5693,5261,5338,3849,0
5693,5261,5338,3849,0
5696,5261,5339,3848,0
5696,5261,5339,3848,0
5688,5258,5336,3849,0
5688,5258,5336,3849,0
5687,5259,5340,3849,0
5687,5259,5340,3849,0
5692,5256,5333,3849,0
5692,5256,5333,3849,0
5697,5262,5340,3849,0
5697,5262,5340,3849,0
5698,5258,5336,3848,0
5698,5258,5336,3848,0
5700,5254,5337,3848,0
5700,5254,5337,3848,0
5700,5207,5293,3847,0
5700,5207,5293,3847,0
5704,5199,5281,3849,0
5704,5199,5281,3849,0
5703,5178,5264,3850,0
5703,5178,5264,3850,0
5705,5164,5253,3851,0
5705,5164,5253,3851,0
5705,5171,5256,3851,0
5705,5171,5256,3851,0
5705,5159,5245,3851,0
5705,5159,5245,3851,0
5705,5166,5251,3851,0
5705,5166,5251,3851,0
5708,5179,5268,3851,0
5708,5179,5268,3851,0
5707,5183,5269,3851,0
5707,5183,5269,3851,0
5707,5184,5269,3851,0
5707,5184,5269,3851,0
5708,5201,5281,3852,0
5708,5201,5281,3852,0
5708,5188,5270,3852,0
5708,5188,5270,3852,0
5708,5204,5285,3853,0
5708,5204,5285,3853,0
5709,5221,5300,3854,0
5709,5221,5300,3854,0
5710,5219,5301,3853,0
5710,5219,5301,3853,0
5709,5212,5296,3853,0
5709,5212,5296,3853,0
5711,5219,5301,3853,0
5711,5219,5301,3853,0
5711,5219,5299,3854,0
5711,5219,5299,3854,0
