dito1,dito2,dito3,dito4,target
4385,9690,10411,7909,3
4385,9691,10404,7908,3
4385,9691,10404,7908,3
4392,9689,10399,7909,3
4392,9689,10399,7909,3
4396,9691,10417,7910,3
4396,9691,10417,7910,3
4397,9694,10419,7910,3
4397,9694,10419,7910,3
4396,9693,10420,7911,3
4396,9693,10420,7911,3
4397,9694,10420,7912,3
4397,9694,10420,7912,3
4414,9707,10413,7927,3
4414,9707,10413,7927,3
4399,9694,10410,7911,3
4399,9694,10410,7911,3
4399,9691,10417,7910,3
4399,9691,10417,7910,3
4402,9693,10418,7911,3
4402,9693,10418,7911,3
4404,9692,10423,7912,3
4404,9692,10423,7912,3
4400,9690,10417,7914,3
4400,9690,10417,7914,3
4401,9692,10418,7914,3
4401,9692,10418,7914,3
4401,9688,10402,7914,3
4401,9688,10402,7914,3
4403,9688,10414,7915,3
4403,9688,10414,7915,3
4406,9688,10417,7914,3
4406,9688,10417,7914,3
4408,9687,10418,7914,3
4408,9687,10418,7914,3
4408,9688,10414,7912,3
4408,9688,10414,7912,3
4410,9687,10414,7912,3
4410,9687,10414,7912,3
4414,9687,10405,7913,3
4414,9687,10405,7913,3
4415,9692,10420,7913,3
4415,9692,10420,7913,3
4414,9690,10417,7914,3
4414,9690,10417,7914,3
4415,9690,10425,7912,3
4415,9690,10425,7912,3
4415,9690,10423,7913,3
4415,9690,10423,7913,3
4415,9694,10418,7915,3
4415,9694,10418,7915,3
4414,9688,10418,7915,3
4414,9688,10418,7915,3
4414,9687,10404,7914,3
4414,9687,10404,7914,3
4413,9689,10414,7913,3
4413,9689,10414,7913,3
4415,9689,10415,7914,3
4415,9689,10415,7914,3
4409,9691,10415,7915,3
4409,9691,10415,7915,3
4411,9688,10411,7917,3
4411,9688,10411,7917,3
4415,9689,10417,7918,3
4415,9689,10417,7918,3
4416,9684,10401,7918,3
4416,9684,10401,7918,3
4415,9682,10412,7919,3
4415,9682,10412,7919,3
4416,9680,10412,7921,3
4416,9680,10412,7921,3
4419,9675,10405,7921,3
4419,9675,10405,7921,3
4422,9676,10432,7921,3
4422,9676,10432,7921,3
4422,9676,10404,7920,3
4422,9676,10404,7920,3
4430,9676,10396,7923,3
4430,9676,10396,7923,3
4429,9674,10404,7921,3
4429,9674,10404,7921,3
4431,9673,10400,7922,3
4431,9673,10400,7922,3
4432,9677,10402,7923,3
4432,9677,10402,7923,3
4433,9676,10403,7923,3
4433,9676,10403,7923,3
4437,9674,10406,7924,3
4437,9674,10406,7924,3
4437,9679,10403,7923,3
4437,9679,10403,7923,3
4436,9677,10396,7923,3
4436,9677,10396,7923,3
4437,9677,10405,7923,3
4437,9677,10405,7923,3
4437,9680,10408,7923,3
4437,9680,10408,7923,3
4442,9678,10412,7924,3
4442,9678,10412,7924,3
4444,9680,10412,7924,3
4444,9680,10412,7924,3
4447,9677,10406,7925,3
4447,9677,10406,7925,3
4447,9678,10401,7926,3
4447,9678,10401,7926,3
4451,9679,10404,7927,3
4451,9679,10404,7927,3
4452,9680,10406,7928,3
4452,9680,10406,7928,3
4454,9682,10406,7928,3
4454,9682,10406,7928,3
4452,9682,10408,7928,3
4452,9682,10408,7928,3
4451,9682,10412,7926,3
4451,9682,10412,7926,3
4471,9696,10409,7939,3
4471,9696,10409,7939,3
4456,9685,10406,7923,3
4456,9685,10406,7923,3
4455,9684,10414,7920,3
4455,9684,10414,7920,3
4455,9682,10412,7920,3
4455,9682,10412,7920,3
4455,9681,10382,7921,3
4455,9681,10382,7921,3
4455,9681,10407,7923,3
4455,9681,10407,7923,3
4454,9679,10408,7927,3
4454,9679,10408,7927,3
4458,9679,10396,7927,3
4458,9679,10396,7927,3
4462,9679,10400,7928,3
4462,9679,10400,7928,3
4463,9678,10406,7928,3
4463,9678,10406,7928,3
4462,9677,10404,7928,3
4462,9677,10404,7928,3
4464,9676,10404,7929,3
4464,9676,10404,7929,3
4463,9673,10404,7927,3
4463,9673,10404,7927,3
4461,9672,10382,7926,3
4461,9672,10382,7926,3
4455,9665,10399,7925,3
4455,9665,10399,7925,3
4470,9657,10390,7927,3
4470,9657,10390,7927,3
4478,9656,10384,7928,3
4478,9656,10384,7928,3
4481,9655,10389,7929,3
4481,9655,10389,7929,3
4482,9653,10383,7931,3
4482,9653,10383,7931,3
4485,9654,10379,7934,3
4485,9654,10379,7934,3
4495,9656,10375,7932,3
4495,9656,10375,7932,3
4498,9657,10386,7931,3
4498,9657,10386,7931,3
4499,9659,10390,7931,3
4499,9659,10390,7931,3
4502,9658,10384,7931,3
4502,9658,10384,7931,3
4510,9654,10389,7931,3
4510,9654,10389,7931,3
4516,9650,10382,7932,3
4516,9650,10382,7932,3
4525,9646,10367,7933,3
4525,9646,10367,7933,3
4537,9640,10367,7933,3
4537,9640,10367,7933,3
4543,9637,10366,7933,3
4543,9637,10366,7933,3
4551,9635,10366,7934,3
4551,9635,10366,7934,3
4554,9636,10367,7933,3
4554,9636,10367,7933,3
4558,9637,10366,7932,3
4558,9637,10366,7932,3
4565,9640,10359,7933,3
4565,9640,10359,7933,3
4567,9639,10378,7932,3
4567,9639,10378,7932,3
4568,9638,10372,7932,3
4568,9638,10372,7932,3
4571,9638,10387,7932,3
4571,9638,10387,7932,3
4572,9640,10375,7933,3
4572,9640,10375,7933,3
4573,9644,10382,7933,3
4573,9644,10382,7933,3
4574,9646,10377,7933,3
4574,9646,10377,7933,3
4573,9647,10363,7933,3
4573,9647,10363,7933,3
4574,9646,10378,7933,3
4574,9646,10378,7933,3
4574,9644,10375,7933,3
4574,9644,10375,7933,3
4560,9655,10382,7932,3
4560,9655,10382,7932,3
4564,9663,10390,7930,3
4564,9663,10390,7930,3
