dito1,dito2,dito3,dito4,target
3530,4665,3490,3631,0
3100,4671,3491,3651,0
3100,4671,3491,3651,0
3319,4679,3497,3656,0
3319,4679,3497,3656,0
3560,4687,3501,3656,0
3560,4687,3501,3656,0
3351,4695,3500,3662,0
3351,4695,3500,3662,0
3579,4707,3503,3660,0
3579,4707,3503,3660,0
3600,4713,3506,3661,0
3600,4713,3506,3661,0
3075,4725,3513,3674,0
3075,4725,3513,3674,0
3304,4730,3514,3619,0
3304,4730,3514,3619,0
3661,4734,3508,3609,0
3661,4734,3508,3609,0
3181,4734,3514,3662,0
3181,4734,3514,3662,0
3468,4742,3523,3681,0
3468,4742,3523,3681,0
3585,4740,3524,3652,0
3585,4740,3524,3652,0
3150,4740,3539,3637,0
3150,4740,3539,3637,0
3215,4743,3534,3582,0
3215,4743,3534,3582,0
3485,4746,3535,3563,0
3485,4746,3535,3563,0
2731,4788,3572,3630,0
2731,4788,3572,3630,0
2810,4831,3592,3665,0
2810,4831,3592,3665,0
2821,4839,3585,3677,0
2821,4839,3585,3677,0
2712,4850,3586,3689,0
2712,4850,3586,3689,0
2677,5107,3818,3784,0
2677,5107,3818,3784,0
2693,5482,4261,3988,0
2693,5482,4261,3988,0
2670,4893,3669,3614,0
2670,4893,3669,3614,0
2662,4688,3440,3512,0
2662,4688,3440,3512,0
2617,5238,3884,3870,0
2617,5238,3884,3870,0
2592,5552,4285,4343,0
2592,5552,4285,4343,0
2617,4904,3600,3619,0
2617,4904,3600,3619,0
2575,4929,3566,3610,0
2575,4929,3566,3610,0
2929,5759,4291,3997,0
2929,5759,4291,3997,0
3001,5150,3817,3634,0
3001,5150,3817,3634,0
3008,5109,3769,3696,0
3008,5109,3769,3696,0
3007,5553,4111,3949,0
3007,5553,4111,3949,0
3029,4995,3559,3637,0
3029,4995,3559,3637,0
3036,4773,3394,3572,0
3036,4773,3394,3572,0
2753,5300,3668,3807,0
2753,5300,3668,3807,0
2940,5427,3640,3838,0
2940,5427,3640,3838,0
3011,4902,3362,3492,0
3011,4902,3362,3492,0
3015,5432,3653,3794,0
3015,5432,3653,3794,0
3005,5840,3997,4137,0
3005,5840,3997,4137,0
3045,5089,3494,3649,0
3045,5089,3494,3649,0
3081,5179,3538,3729,0
3081,5179,3538,3729,0
3109,5624,3934,4051,0
3109,5624,3934,4051,0
3095,5072,3484,3686,0
3095,5072,3484,3686,0
3064,4728,3329,3538,0
3064,4728,3329,3538,0
3312,4715,3338,3525,0
3312,4715,3338,3525,0
3277,4685,3347,3554,0
3277,4685,3347,3554,0
3063,4681,3363,3596,0
3063,4681,3363,3596,0
3198,4704,3363,3589,0
3198,4704,3363,3589,0
3314,4722,3375,3610,0
3314,4722,3375,3610,0
3043,4716,3386,3656,0
3043,4716,3386,3656,0
3244,4749,3404,3676,0
3244,4749,3404,3676,0
3464,4768,3415,3688,0
3464,4768,3415,3688,0
3043,4759,3421,3705,0
3043,4759,3421,3705,0
3134,4776,3425,3688,0
3134,4776,3425,3688,0
3375,4809,3440,3698,0
3375,4809,3440,3698,0
3118,4853,3469,3722,0
3118,4853,3469,3722,0
3035,4869,3480,3739,0
3035,4869,3480,3739,0
3048,4946,3523,3769,0
3048,4946,3523,3769,0
3048,4988,3523,3686,0
3048,4988,3523,3686,0
3047,4884,3380,3635,0
3047,4884,3380,3635,0
3069,4427,3109,3531,0
3069,4427,3109,3531,0
3073,4335,3065,3481,0
3073,4335,3065,3481,0
3078,4741,3287,3616,0
3078,4741,3287,3616,0
3092,4921,3427,3713,0
3092,4921,3427,3713,0
3123,4474,3178,3586,0
3123,4474,3178,3586,0
3090,4703,3354,3696,0
3090,4703,3354,3696,0
3068,4979,3477,3754,0
3068,4979,3477,3754,0
3075,4584,3253,3622,0
3075,4584,3253,3622,0
3076,4735,3362,3698,0
3076,4735,3362,3698,0
3085,5047,3556,3824,0
3085,5047,3556,3824,0
3102,4710,3307,3648,0
3102,4710,3307,3648,0
3116,4489,3181,3553,0
3116,4489,3181,3553,0
3129,4762,3371,3682,0
3129,4762,3371,3682,0
3138,4856,3449,3753,0
3138,4856,3449,3753,0
3149,4858,3461,3758,0
3149,4858,3461,3758,0
3140,5117,3717,3886,0
3140,5117,3717,3886,0
3143,4833,3489,3764,0
3143,4833,3489,3764,0
3161,4683,3366,3681,0
3161,4683,3366,3681,0
3142,5029,3646,3850,0
3142,5029,3646,3850,0
3165,5075,3651,3870,0
3165,5075,3651,3870,0
3159,5095,3683,3902,0
3159,5095,3683,3902,0
3161,5338,4008,4169,0
3161,5338,4008,4169,0
3179,5176,3765,3962,0
3179,5176,3765,3962,0
3196,4882,3490,3733,0
3196,4882,3490,3733,0
3181,5315,3976,4131,0
3181,5315,3976,4131,0
3220,5701,4384,4596,0
3220,5701,4384,4596,0
3244,5428,4131,4317,0
3244,5428,4131,4317,0
3278,5495,4187,4343,0
3278,5495,4187,4343,0
3299,5322,3942,4105,0
3299,5322,3942,4105,0
3302,4762,3395,3616,0
3302,4762,3395,3616,0
3316,5064,3673,3781,0
3316,5064,3673,3781,0
3322,5805,4435,4496,0
3322,5805,4435,4496,0
3330,5440,3980,3926,0
3330,5440,3980,3926,0
3343,5469,4061,3975,0
3343,5469,4061,3975,0
3346,6070,4602,4672,0
3346,6070,4602,4672,0
3347,5538,4085,4034,0
3347,5538,4085,4034,0
3360,4852,3428,3546,0
3360,4852,3428,3546,0
3348,5472,4033,3908,0
3348,5472,4033,3908,0
3374,6090,4569,4511,0
3374,6090,4569,4511,0
3382,5407,3918,3829,0
3382,5407,3918,3829,0
3407,5064,3581,3612,0
3407,5064,3581,3612,0
3394,5082,3579,3596,0
3394,5082,3579,3596,0
3399,5268,3712,3709,0
3399,5268,3712,3709,0
3376,4622,3166,3377,0
3376,4622,3166,3377,0
3378,4425,3031,3324,0
3378,4425,3031,3324,0
3379,4577,3161,3434,0
3379,4577,3161,3434,0
3398,4627,3200,3471,0
3398,4627,3200,3471,0
3873,4631,3207,3479,0
3873,4631,3207,3479,0
4533,4639,3213,3489,0
4533,4639,3213,3489,0
4875,4650,3223,3497,0
4875,4650,3223,3497,0
3524,4653,3230,3501,0
3524,4653,3230,3501,0
3902,4658,3242,3509,0
3902,4658,3242,3509,0
4422,4664,3255,3515,0
4422,4664,3255,3515,0
3631,4668,3258,3517,0
3631,4668,3258,3517,0
3391,4684,3262,3522,0
3391,4684,3262,3522,0
4355,4723,3281,3537,0
4355,4723,3281,3537,0
4196,4737,3299,3545,0
4196,4737,3299,3545,0
3592,4733,3297,3544,0
3592,4733,3297,3544,0
3527,4925,3488,3619,0
3527,4925,3488,3619,0
3534,5398,4020,3966,0
3534,5398,4020,3966,0
3526,4761,3482,3604,0
3526,4761,3482,3604,0
3525,4579,3302,3528,0
3525,4579,3302,3528,0
3574,5380,4187,4076,0
3574,5380,4187,4076,0
3596,5739,4525,4423,0
3596,5739,4525,4423,0
3576,4938,3643,3654,0
3576,4938,3643,3654,0
3592,5262,4056,3952,0
3592,5262,4056,3952,0
3606,5428,4276,4281,0
3606,5428,4276,4281,0
3592,4808,3531,3642,0
3592,4808,3531,3642,0
3603,5305,4093,4041,0
3603,5305,4093,4041,0
3648,5973,4677,4790,0
3648,5973,4677,4790,0
3650,5359,4062,4060,0
3650,5359,4062,4060,0
3657,5541,4279,4301,0
3657,5541,4279,4301,0
3674,5781,4469,4468,0
3674,5781,4469,4468,0
3670,5402,3932,3931,0
3670,5402,3932,3931,0
3686,5630,4003,3965,0
3686,5630,4003,3965,0
3395,5283,3629,3633,0
3395,5283,3629,3633,0
3156,5042,3500,3550,0
3156,5042,3500,3550,0
3980,5058,3509,3566,0
3980,5058,3509,3566,0
4664,5026,3486,3526,0
4664,5026,3486,3526,0
3529,4976,3480,3523,0
3529,4976,3480,3523,0
3663,4992,3488,3533,0
3663,4992,3488,3533,0
3811,4999,3501,3540,0
3811,4999,3501,3540,0
2975,4980,3506,3544,0
2975,4980,3506,3544,0
2818,4955,3505,3542,0
2818,4955,3505,3542,0
2788,4952,3500,3547,0
2788,4952,3500,3547,0
2933,4959,3496,3550,0
2933,4959,3496,3550,0
2917,4949,3496,3554,0
2917,4949,3496,3554,0
2945,4956,3503,3564,0
2945,4956,3503,3564,0
3069,4958,3504,3571,0
3069,4958,3504,3571,0
2994,4975,3528,3601,0
2994,4975,3528,3601,0
3135,4988,3533,3601,0
3135,4988,3533,3601,0
3090,4994,3548,3621,0
3090,4994,3548,3621,0
2942,4999,3562,3642,0
2942,4999,3562,3642,0
3171,5019,3577,3652,0
3171,5019,3577,3652,0
3031,5031,3590,3661,0
3031,5031,3590,3661,0
2989,5040,3592,3670,0
2989,5040,3592,3670,0
3093,5043,3602,3679,0
3093,5043,3602,3679,0
3065,5049,3609,3688,0
3065,5049,3609,3688,0
3208,5047,3612,3695,0
3208,5047,3612,3695,0
3177,5052,3613,3701,0
3177,5052,3613,3701,0
2113,5055,3619,3723,0
2113,5055,3619,3723,0
3135,5056,3625,3731,0
3135,5056,3625,3731,0
3225,5061,3624,3712,0
3225,5061,3624,3712,0
3643,5066,3631,3724,0
3643,5066,3631,3724,0
3837,5072,3634,3723,0
3837,5072,3634,3723,0
3595,5072,3630,3717,0
3595,5072,3630,3717,0
3542,5059,3613,3688,0
3542,5059,3613,3688,0
3588,4995,3564,3637,0
3588,4995,3564,3637,0
3374,4935,3523,3623,0
3374,4935,3523,3623,0
3349,4894,3497,3609,0
3349,4894,3497,3609,0
3242,4907,3491,3586,0
3242,4907,3491,3586,0
3410,4926,3494,3611,0
3410,4926,3494,3611,0
3298,4806,3436,3572,0
3298,4806,3436,3572,0
3303,4661,3345,3522,0
3303,4661,3345,3522,0
3251,4923,3512,3644,0
3251,4923,3512,3644,0
3200,5370,4081,3864,0
3200,5370,4081,3864,0
3211,5526,4239,4023,0
3211,5526,4239,4023,0
3202,4763,3432,3505,0
3202,4763,3432,3505,0
3210,4549,3242,3413,0
3210,4549,3242,3413,0
3162,5416,4101,3725,0
3162,5416,4101,3725,0
3130,5980,4627,4091,0
3130,5980,4627,4091,0
3154,4947,3572,3470,0
3154,4947,3572,3470,0
3241,4731,3334,3421,0
3241,4731,3334,3421,0
3224,5437,4180,3842,0
3224,5437,4180,3842,0
3199,5558,4433,4105,0
3199,5558,4433,4105,0
3257,4890,3931,3694,0
3257,4890,3931,3694,0
3254,4677,3496,3469,0
3254,4677,3496,3469,0
3251,5138,4009,3729,0
3251,5138,4009,3729,0
2849,4841,3823,3674,0
2849,4841,3823,3674,0
2958,4376,3185,3435,0
2958,4376,3185,3435,0
2918,4994,3887,3815,0
2918,4994,3887,3815,0
3243,5102,3946,3824,0
3243,5102,3946,3824,0
3356,4431,3166,3364,0
3356,4431,3166,3364,0
3405,4564,3224,3446,0
3405,4564,3224,3446,0
3384,5102,3887,3727,0
3384,5102,3887,3727,0
3398,4618,3434,3528,0
3398,4618,3434,3528,0
3405,4496,3279,3485,0
3405,4496,3279,3485,0
3362,5145,4005,3851,0
3362,5145,4005,3851,0
3338,5133,3876,3787,0
3338,5133,3876,3787,0
3332,4651,3370,3523,0
3332,4651,3370,3523,0
3290,5533,4265,4093,0
3290,5533,4265,4093,0
3245,6131,4747,4702,0
3245,6131,4747,4702,0
3260,5127,3768,3725,0
3260,5127,3768,3725,0
3234,5388,4062,3911,0
3234,5388,4062,3911,0
3165,6187,4690,4532,0
3165,6187,4690,4532,0
3230,5186,3693,3719,0
3230,5186,3693,3719,0
3254,4829,3350,3524,0
3254,4829,3350,3524,0
3244,4668,3246,3452,0
3244,4668,3246,3452,0
3262,4950,3556,3639,0
3262,4950,3556,3639,0
3308,5653,4316,4230,0
3308,5653,4316,4230,0
3333,4980,3695,3740,0
3333,4980,3695,3740,0
3356,4770,3482,3635,0
3356,4770,3482,3635,0
3516,4769,3468,3651,0
3516,4769,3468,3651,0
